#            configname    selected           comp(a)    formation_energy    clex(formation_energy)    hull_dist(ALL,comp)    clex_hull_dist(ALL,comp)        comp_n(Na)
    SCEL2_2_1_1_0_0_0/105         1        0.58333333         0.02538398                 0.00816516             0.41773800                  0.32416658        4.50000000
    SCEL2_2_1_1_0_0_0/106         1        0.58333333         0.08865785                 0.10220240             0.48101186                  0.41820381        4.50000000
    SCEL2_2_1_1_0_0_0/107         1        0.58333333         -0.04153888                -0.05785079            0.35081514                  0.25815063        4.50000000
    SCEL2_2_1_1_0_0_0/108         1        0.58333333         0.12821242                 0.12687526             0.52056644                  0.44287668        4.50000000
    SCEL2_2_1_1_0_0_0/109         1        0.58333333         0.12498744                 0.12009357             0.51734145                  0.43609499        4.50000000
    SCEL2_2_1_1_0_0_0/11          1        0.75000000         0.02642111                 0.00216764             0.26183521                  0.19055299        3.50000000
    SCEL2_2_1_1_0_0_0/110         1        0.58333333         -0.01038495                -0.00956354            0.38196906                  0.30643788        4.50000000
    SCEL2_2_1_1_0_0_0/111         1        0.58333333         0.03421390                 0.03685154             0.42656791                  0.35285296        4.50000000
    SCEL2_2_1_1_0_0_0/112         1        0.58333333         0.05577327                 0.11062883             0.44812728                  0.42663025        4.50000000
    SCEL2_2_1_1_0_0_0/113         1        0.58333333         0.08494054                 0.08117296             0.47729455                  0.39717438        4.50000000
    SCEL2_2_1_1_0_0_0/114         1        0.58333333         -0.07482994                -0.06659044            0.31752408                  0.24941098        4.50000000
    SCEL2_2_1_1_0_0_0/115         1        0.58333333         -0.02285221                -0.01862742            0.36950180                  0.29737400        4.50000000
    SCEL2_2_1_1_0_0_0/116         1        0.58333333         -0.00225648                -0.02233309            0.39009754                  0.29366833        4.50000000
    SCEL2_2_1_1_0_0_0/117         1        0.58333333         0.33168619                 0.30015874             0.72404021                  0.61616016        4.50000000
    SCEL2_2_1_1_0_0_0/118         1        0.58333333         0.02424054                 0.00677331             0.41659455                  0.32277473        4.50000000
    SCEL2_2_1_1_0_0_0/12          1        0.75000000         -0.06216414                -0.05866154            0.17324996                  0.12972381        3.50000000
    SCEL2_2_1_1_0_0_0/121         1        0.58333333         0.01652823                 0.01209862             0.40888224                  0.32810003        4.50000000
    SCEL2_2_1_1_0_0_0/122         1        0.58333333         -0.00780748                -0.00932555            0.38454653                  0.30667587        4.50000000
    SCEL2_2_1_1_0_0_0/123         1        0.58333333         -0.05283169                -0.06142171            0.33952232                  0.25457971        4.50000000
    SCEL2_2_1_1_0_0_0/124         1        0.58333333         0.11828626                 0.12169463             0.51064027                  0.43769604        4.50000000
    SCEL2_2_1_1_0_0_0/125         1        0.58333333         0.09581299                 0.06843336             0.48816700                  0.38443478        4.50000000
    SCEL2_2_1_1_0_0_0/126         1        0.58333333         0.20581382                 0.21829984             0.59816784                  0.53430126        4.50000000
    SCEL2_2_1_1_0_0_0/127         1        0.58333333         0.03519958                 0.03100070             0.42755359                  0.34700212        4.50000000
    SCEL2_2_1_1_0_0_0/128         1        0.58333333         -0.06227750                -0.05366158            0.33007651                  0.26233984        4.50000000
    SCEL2_2_1_1_0_0_0/129         1        0.08333333         -0.02347714                -0.02474983            0.10607680                  0.10210655        7.50000000
    SCEL2_2_1_1_0_0_0/130         1        0.08333333         -0.00035741                -0.00183934            0.12919653                  0.12501704        7.50000000
    SCEL2_2_1_1_0_0_0/131         1        0.08333333         -0.04395424                0.00156077             0.08559970                  0.12841715        7.50000000
    SCEL2_2_1_1_0_0_0/132         1        0.08333333         0.08384902                 0.05521045             0.21340296                  0.18206683        7.50000000
    SCEL2_2_1_1_0_0_0/133         1        0.08333333         0.01359845                 0.00880211             0.14315239                  0.13565849        7.50000000
    SCEL2_2_1_1_0_0_0/134         1        0.08333333         0.05269171                 0.01486201             0.18224565                  0.14171839        7.50000000
    SCEL2_2_1_1_0_0_0/135         1        0.08333333         0.07066057                 0.03846709             0.20021451                  0.16532347        7.50000000
    SCEL2_2_1_1_0_0_0/136         1        0.08333333         0.02387215                 0.01074764             0.15342609                  0.13760402        7.50000000
    SCEL2_2_1_1_0_0_0/137         1        0.08333333         0.01941810                 0.01250812             0.14897204                  0.13936450        7.50000000
    SCEL2_2_1_1_0_0_0/138         1        0.08333333         0.07926501                 0.04442024             0.20881895                  0.17127662        7.50000000
    SCEL2_2_1_1_0_0_0/139         1        0.08333333         0.07564297                 0.05166158             0.20519691                  0.17851796        7.50000000
    SCEL2_2_1_1_0_0_0/14          1        0.75000000         0.17853491                 0.18083550             0.41394901                  0.36922085        3.50000000
    SCEL2_2_1_1_0_0_0/141         1        0.08333333         -0.00120941                0.00652908             0.12834453                  0.13338546        7.50000000
    SCEL2_2_1_1_0_0_0/147         1        0.08333333         0.01944664                 0.01636899             0.14900058                  0.14322537        7.50000000
    SCEL2_2_1_1_0_0_0/148         1        0.08333333         0.02149250                 0.00398903             0.15104644                  0.13084541        7.50000000
    SCEL2_2_1_1_0_0_0/149         1        0.08333333         -0.01676907                -0.00427536            0.11278487                  0.12258102        7.50000000
    SCEL2_2_1_1_0_0_0/15          1        0.75000000         0.16236101                 0.18083550             0.39777511                  0.36922085        3.50000000
    SCEL2_2_1_1_0_0_0/150         1        0.08333333         -0.02120214                -0.01151670            0.10835180                  0.11533968        7.50000000
    SCEL2_2_1_1_0_0_0/151         1        0.08333333         -0.00197629                0.02092382             0.12757765                  0.14778020        7.50000000
    SCEL2_2_1_1_0_0_0/152         1        0.08333333         0.02092489                 -0.00521104            0.15047883                  0.12164534        7.50000000
    SCEL2_2_1_1_0_0_0/153         1        0.08333333         0.04314548                 0.03250525             0.17269942                  0.15936163        7.50000000
    SCEL2_2_1_1_0_0_0/154         1        0.41666667         -0.05962017                -0.04690705            0.43490574                  0.39671044        5.50000000
    SCEL2_2_1_1_0_0_0/155         1        0.41666667         -0.06382098                -0.06089666            0.43070493                  0.38272083        5.50000000
    SCEL2_2_1_1_0_0_0/156         1        0.41666667         0.24699926                 0.24786247             0.74152516                  0.69147996        5.50000000
    SCEL2_2_1_1_0_0_0/157         1        0.41666667         0.21494463                 0.21752720             0.70947053                  0.66114469        5.50000000
    SCEL2_2_1_1_0_0_0/158         1        0.41666667         0.02913430                 0.00786348             0.52366021                  0.45148097        5.50000000
    SCEL2_2_1_1_0_0_0/159         1        0.41666667         0.04414320                 0.00858185             0.53866911                  0.45219934        5.50000000
    SCEL2_2_1_1_0_0_0/16          1        0.75000000         0.18835659                 0.18251007             0.42377069                  0.37089542        3.50000000
    SCEL2_2_1_1_0_0_0/160         1        0.41666667         0.02680065                 0.01775103             0.52132655                  0.46136852        5.50000000
    SCEL2_2_1_1_0_0_0/161         1        0.41666667         0.00593664                 0.01793210             0.50046255                  0.46154958        5.50000000
    SCEL2_2_1_1_0_0_0/162         1        0.41666667         0.09544643                 0.09047022             0.58997234                  0.53408771        5.50000000
    SCEL2_2_1_1_0_0_0/163         1        0.41666667         0.00022290                 0.01093037             0.49474881                  0.45454786        5.50000000
    SCEL2_2_1_1_0_0_0/164         1        0.41666667         -0.05716660                -0.05659001            0.43735930                  0.38702747        5.50000000
    SCEL2_2_1_1_0_0_0/165         1        0.41666667         -0.00929688                0.00824772             0.48522902                  0.45186520        5.50000000
    SCEL2_2_1_1_0_0_0/166         1        0.41666667         0.22039967                 0.20674365             0.71492557                  0.65036114        5.50000000
    SCEL2_2_1_1_0_0_0/167         1        0.41666667         0.02253012                 0.03552039             0.51705602                  0.47913788        5.50000000
    SCEL2_2_1_1_0_0_0/168         1        0.41666667         0.03014288                 0.02557090             0.52466878                  0.46918839        5.50000000
    SCEL2_2_1_1_0_0_0/169         1        0.41666667         0.19307520                 0.25110189             0.68760110                  0.69471938        5.50000000
    SCEL2_2_1_1_0_0_0/17          1        0.75000000         0.01506557                 0.02685831             0.25047967                  0.21524366        3.50000000
    SCEL2_2_1_1_0_0_0/170         1        0.41666667         0.08300032                 0.05752616             0.57752623                  0.50114365        5.50000000
    SCEL2_2_1_1_0_0_0/171         1        0.41666667         0.03124516                 0.03052714             0.52577107                  0.47414463        5.50000000
    SCEL2_2_1_1_0_0_0/172         1        0.41666667         0.12420416                 0.11057987             0.61873006                  0.55419736        5.50000000
    SCEL2_2_1_1_0_0_0/173         1        0.41666667         -0.03939456                -0.06355507            0.45513134                  0.38006241        5.50000000
    SCEL2_2_1_1_0_0_0/174         1        0.41666667         0.09291952                 0.06827225             0.58744542                  0.51188974        5.50000000
    SCEL2_2_1_1_0_0_0/175         1        0.41666667         -0.08364025                -0.08496171            0.41088566                  0.35865578        5.50000000
    SCEL2_2_1_1_0_0_0/176         1        0.41666667         0.07928639                 0.07234759             0.57381229                  0.51596507        5.50000000
    SCEL2_2_1_1_0_0_0/177         1        0.41666667         0.16556670                 0.21169883             0.66009261                  0.65531632        5.50000000
    SCEL2_2_1_1_0_0_0/178         1        0.41666667         0.09758702                 0.09299380             0.59211293                  0.53661128        5.50000000
    SCEL2_2_1_1_0_0_0/179         1        0.41666667         0.05453279                 0.02959296             0.54905869                  0.47321045        5.50000000
    SCEL2_2_1_1_0_0_0/18          1        0.75000000         0.09306837                 0.07576715             0.32848247                  0.26415250        3.50000000
    SCEL2_2_1_1_0_0_0/180         1        0.41666667         0.09870303                 0.07820799             0.59322894                  0.52182548        5.50000000
    SCEL2_2_1_1_0_0_0/181         1        0.41666667         0.06579273                 0.07859232             0.56031864                  0.52220981        5.50000000
    SCEL2_2_1_1_0_0_0/182         1        0.41666667         0.11504652                 0.11289137             0.60957243                  0.55650886        5.50000000
    SCEL2_2_1_1_0_0_0/183         1        0.41666667         0.06866803                 0.03927897             0.56319393                  0.48289645        5.50000000
    SCEL2_2_1_1_0_0_0/184         1        0.41666667         0.15938675                 0.13574459             0.65391265                  0.57936208        5.50000000
    SCEL2_2_1_1_0_0_0/185         1        0.41666667         -0.03156252                -0.03482960            0.46296338                  0.40878788        5.50000000
    SCEL2_2_1_1_0_0_0/186         1        0.41666667         0.07866139                 0.06129314             0.57318730                  0.50491062        5.50000000
    SCEL2_2_1_1_0_0_0/187         1        0.41666667         0.05426254                 0.02075857             0.54878844                  0.46437606        5.50000000
    SCEL2_2_1_1_0_0_0/188         1        0.41666667         -0.03443901                -0.01523799            0.46008689                  0.42837950        5.50000000
    SCEL2_2_1_1_0_0_0/189         1        0.41666667         0.00287944                 0.00549506             0.49740535                  0.44911254        5.50000000
    SCEL2_2_1_1_0_0_0/19          1        0.75000000         0.02343779                 0.02074498             0.25885189                  0.20913033        3.50000000
    SCEL2_2_1_1_0_0_0/190         1        0.41666667         -0.02427612                -0.03757220            0.47024978                  0.40604529        5.50000000
    SCEL2_2_1_1_0_0_0/191         1        0.41666667         0.09812568                 0.10807488             0.59265159                  0.55169237        5.50000000
    SCEL2_2_1_1_0_0_0/192         1        0.41666667         -0.03236348                -0.05086161            0.46216242                  0.39275588        5.50000000
    SCEL2_2_1_1_0_0_0/193         1        0.41666667         0.17129025                 0.21923816             0.66581616                  0.66285565        5.50000000
    SCEL2_2_1_1_0_0_0/194         1        0.41666667         0.02757858                 0.03072655             0.52210448                  0.47434404        5.50000000
    SCEL2_2_1_1_0_0_0/195         1        0.41666667         0.10560925                 0.09764243             0.60013515                  0.54125992        5.50000000
    SCEL2_2_1_1_0_0_0/196         1        0.41666667         -0.07091765                -0.08239790            0.42360825                  0.36121958        5.50000000
    SCEL2_2_1_1_0_0_0/197         1        0.41666667         0.06703009                 0.05476013             0.56155599                  0.49837761        5.50000000
    SCEL2_2_1_1_0_0_0/198         1        0.41666667         0.09579101                 0.06035338             0.59031692                  0.50397086        5.50000000
    SCEL2_2_1_1_0_0_0/199         1        0.41666667         -0.00569347                -0.00402519            0.48883244                  0.43959229        5.50000000
    SCEL2_2_1_1_0_0_0/2           1        0.75000000         0.02777742                 0.01932533             0.26319152                  0.20771068        3.50000000
    SCEL2_2_1_1_0_0_0/20          1        0.75000000         0.08059308                 0.08672050             0.31600717                  0.27510585        3.50000000
